id,gender,masterCategory,subCategory,baseColour,season,year,usage,filename
229,women,shirts,shirts,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shirt/229_1.jpg
229,women,skirts,skirts,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/skirt/229_2.jpg
229,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/229_3.jpg
230,women,bags,bags,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/bag/230_1.jpg
230,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/230_2.jpg
231,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/231_1.jpg
231,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/231_2.jpg
231,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/231_3.jpg
232,women,bags,bags,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/bag/232_1.jpg
232,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/232_2.jpg
233,women,jackets,jackets,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/jacket/233_1.jpg
233,women,bags,bags,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/bag/233_2.jpg
234,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/234_1.jpg
234,women,jackets,jackets,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/jacket/234_2.jpg
235,women,jackets,jackets,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/jacket/235_1.jpg
236,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/236_1.jpg
236,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/236_2.jpg
237,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/237_1.jpg
237,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/237_2.jpg
238,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/238_1.jpg
239,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/239_1.jpg
239,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/239_2.jpg
239,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/239_3.jpg
240,women,bags,bags,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/bag/240_1.jpg
240,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/240_2.jpg
240,women,skirts,skirts,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/skirt/240_3.jpg
240,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/240_4.jpg
241,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/241_1.jpg
241,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/241_2.jpg
242,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/242_1.jpg
242,women,bags,bags,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/bag/242_2.jpg
242,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/242_3.jpg
243,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/243_1.jpg
243,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/243_2.jpg
244,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/244_1.jpg
244,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/244_2.jpg
245,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/245_1.jpg
245,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/245_2.jpg
246,women,dresss,dresss,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/dress/246_1.jpg
246,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/246_2.jpg
247,women,shirts,shirts,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shirt/247_1.jpg
247,women,bags,bags,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/bag/247_2.jpg
247,women,skirts,skirts,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/skirt/247_3.jpg
248,women,skirts,skirts,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/skirt/248_1.jpg
248,women,shoes,shoes,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shoe/248_2.jpg
248,women,shirts,shirts,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/shirt/248_3.jpg
249,women,skirts,skirts,,summer,2024,Casual,F:/python_project/detect_clothing/yolo_by_kaggle/cropped_images2/skirt/249_1.jpg
